epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1386.76,5.36347,0.004,0.023,5.39402,4.8902e-05,1.63007e-05,4.8902e-05,1.63007e-05,4.8902e-05,1.63007e-05,4.8902e-05,1.63007e-05
2,2551.05,5.36036,0.004,0.024,5.37289,9.40251e-05,3.13417e-05,9.40251e-05,3.13417e-05,9.40251e-05,3.13417e-05,9.40251e-05,3.13417e-05
3,3080.49,5.34744,0.004,0.023,5.34173,0.000135267,4.50891e-05,0.000135267,4.50891e-05,0.000135267,4.50891e-05,0.000135267,4.50891e-05
4,3435.45,5.3254,0.004,0.026,5.31968,0.000129536,4.31788e-05,0.000129536,4.31788e-05,0.000129536,4.31788e-05,0.000129536,4.31788e-05
5,3792.66,5.29877,0.008,0.031,5.30091,0.000123715,4.12384e-05,0.000123715,4.12384e-05,0.000123715,4.12384e-05,0.000123715,4.12384e-05
6,4150.12,5.28053,0.007,0.033,5.27175,0.000117894,3.9298e-05,0.000117894,3.9298e-05,0.000117894,3.9298e-05,0.000117894,3.9298e-05
7,4507.06,5.26067,0.01,0.037,5.25599,0.000112073,3.73576e-05,0.000112073,3.73576e-05,0.000112073,3.73576e-05,0.000112073,3.73576e-05
8,4861.31,5.2493,0.01,0.049,5.23027,0.000106252,3.54172e-05,0.000106252,3.54172e-05,0.000106252,3.54172e-05,0.000106252,3.54172e-05
9,5211.31,5.23016,0.012,0.054,5.20752,0.00010043,3.34768e-05,0.00010043,3.34768e-05,0.00010043,3.34768e-05,0.00010043,3.34768e-05
10,5835.79,5.21697,0.014,0.057,5.19182,9.46092e-05,3.15364e-05,9.46092e-05,3.15364e-05,9.46092e-05,3.15364e-05,9.46092e-05,3.15364e-05
11,6551.99,5.19755,0.015,0.072,5.17624,8.8788e-05,2.9596e-05,8.8788e-05,2.9596e-05,8.8788e-05,2.9596e-05,8.8788e-05,2.9596e-05
12,6981.31,5.1878,0.019,0.074,5.15864,8.29668e-05,2.76556e-05,8.29668e-05,2.76556e-05,8.29668e-05,2.76556e-05,8.29668e-05,2.76556e-05
13,7412.97,5.17254,0.021,0.079,5.14808,7.71456e-05,2.57152e-05,7.71456e-05,2.57152e-05,7.71456e-05,2.57152e-05,7.71456e-05,2.57152e-05
14,8428.25,5.16025,0.024,0.087,5.13125,7.13244e-05,2.37748e-05,7.13244e-05,2.37748e-05,7.13244e-05,2.37748e-05,7.13244e-05,2.37748e-05
15,9122.81,5.14857,0.023,0.092,5.12506,6.55032e-05,2.18344e-05,6.55032e-05,2.18344e-05,6.55032e-05,2.18344e-05,6.55032e-05,2.18344e-05
16,9657.35,5.13447,0.025,0.102,5.10756,5.9682e-05,1.9894e-05,5.9682e-05,1.9894e-05,5.9682e-05,1.9894e-05,5.9682e-05,1.9894e-05
17,10204.7,5.1264,0.026,0.1,5.09827,5.38608e-05,1.79536e-05,5.38608e-05,1.79536e-05,5.38608e-05,1.79536e-05,5.38608e-05,1.79536e-05
18,10714.6,5.11877,0.026,0.104,5.08771,4.80396e-05,1.60132e-05,4.80396e-05,1.60132e-05,4.80396e-05,1.60132e-05,4.80396e-05,1.60132e-05
19,11206.1,5.11253,0.027,0.103,5.07538,4.22184e-05,1.40728e-05,4.22184e-05,1.40728e-05,4.22184e-05,1.40728e-05,4.22184e-05,1.40728e-05
20,11672.2,5.10447,0.029,0.107,5.07223,3.63972e-05,1.21324e-05,3.63972e-05,1.21324e-05,3.63972e-05,1.21324e-05,3.63972e-05,1.21324e-05
21,12131.5,5.09983,0.032,0.109,5.06134,3.0576e-05,1.0192e-05,3.0576e-05,1.0192e-05,3.0576e-05,1.0192e-05,3.0576e-05,1.0192e-05
22,12519.5,5.09735,0.03,0.112,5.05373,2.47548e-05,8.2516e-06,2.47548e-05,8.2516e-06,2.47548e-05,8.2516e-06,2.47548e-05,8.2516e-06
23,12952.9,5.09782,0.03,0.112,5.05644,1.89336e-05,6.3112e-06,1.89336e-05,6.3112e-06,1.89336e-05,6.3112e-06,1.89336e-05,6.3112e-06
24,13364.4,5.08495,0.029,0.112,5.05102,1.31124e-05,4.3708e-06,1.31124e-05,4.3708e-06,1.31124e-05,4.3708e-06,1.31124e-05,4.3708e-06
25,13836.2,5.08919,0.03,0.111,5.05126,7.2912e-06,2.4304e-06,7.2912e-06,2.4304e-06,7.2912e-06,2.4304e-06,7.2912e-06,2.4304e-06
