epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,252.55,3.6302,0.01143,0.13143,3.59549,0.000254562,8.48539e-05,0.000254562,8.48539e-05,0.000254562,8.48539e-05,0.000254562,8.48539e-05
2,381.184,3.59221,0.02857,0.16571,3.54305,0.000500453,0.000166818,0.000500453,0.000166818,0.000500453,0.000166818,0.000500453,0.000166818
3,479.485,3.53347,0.05714,0.21714,3.47772,0.000736206,0.000245402,0.000736206,0.000245402,0.000736206,0.000245402,0.000736206,0.000245402
4,570.581,3.46293,0.08571,0.34857,3.36987,0.000722381,0.000240794,0.000722381,0.000240794,0.000722381,0.000240794,0.000722381,0.000240794
5,659.663,3.36717,0.10286,0.39429,3.27457,0.000707174,0.000235725,0.000707174,0.000235725,0.000707174,0.000235725,0.000707174,0.000235725
6,750.885,3.28802,0.14286,0.46857,3.19196,0.000691968,0.000230656,0.000691968,0.000230656,0.000691968,0.000230656,0.000691968,0.000230656
7,833.347,3.2102,0.16,0.46857,3.13128,0.000676762,0.000225587,0.000676762,0.000225587,0.000676762,0.000225587,0.000676762,0.000225587
8,908.878,3.15149,0.18286,0.52,3.0481,0.000661555,0.000220518,0.000661555,0.000220518,0.000661555,0.000220518,0.000661555,0.000220518
9,983.413,3.07942,0.18857,0.50857,2.9935,0.000646349,0.00021545,0.000646349,0.00021545,0.000646349,0.00021545,0.000646349,0.00021545
10,1058.74,3.03307,0.22286,0.57714,2.92327,0.000631142,0.000210381,0.000631142,0.000210381,0.000631142,0.000210381,0.000631142,0.000210381
11,1133.76,2.97612,0.22857,0.58857,2.87937,0.000615936,0.000205312,0.000615936,0.000205312,0.000615936,0.000205312,0.000615936,0.000205312
12,1211.59,2.9136,0.28571,0.59429,2.83745,0.00060073,0.000200243,0.00060073,0.000200243,0.00060073,0.000200243,0.00060073,0.000200243
13,1287.49,2.89472,0.29714,0.58857,2.78884,0.000585523,0.000195174,0.000585523,0.000195174,0.000585523,0.000195174,0.000585523,0.000195174
14,1362.53,2.8324,0.30286,0.60571,2.7488,0.000570317,0.000190106,0.000570317,0.000190106,0.000570317,0.000190106,0.000570317,0.000190106
15,1438.1,2.82022,0.29143,0.60571,2.72273,0.00055511,0.000185037,0.00055511,0.000185037,0.00055511,0.000185037,0.00055511,0.000185037
16,1515.37,2.77564,0.30857,0.64,2.67467,0.000539904,0.000179968,0.000539904,0.000179968,0.000539904,0.000179968,0.000539904,0.000179968
17,1589.66,2.73498,0.29714,0.64,2.63946,0.000524698,0.000174899,0.000524698,0.000174899,0.000524698,0.000174899,0.000524698,0.000174899
18,1663.51,2.72099,0.32571,0.65143,2.61701,0.000509491,0.00016983,0.000509491,0.00016983,0.000509491,0.00016983,0.000509491,0.00016983
19,1737.93,2.67676,0.32571,0.62857,2.5992,0.000494285,0.000164762,0.000494285,0.000164762,0.000494285,0.000164762,0.000494285,0.000164762
20,1813.9,2.64977,0.35429,0.66286,2.54857,0.000479078,0.000159693,0.000479078,0.000159693,0.000479078,0.000159693,0.000479078,0.000159693
21,1893.1,2.62739,0.36571,0.68,2.53386,0.000463872,0.000154624,0.000463872,0.000154624,0.000463872,0.000154624,0.000463872,0.000154624
22,1981.65,2.60483,0.36,0.65143,2.51876,0.000448666,0.000149555,0.000448666,0.000149555,0.000448666,0.000149555,0.000448666,0.000149555
23,2071.22,2.57166,0.34857,0.66857,2.495,0.000433459,0.000144486,0.000433459,0.000144486,0.000433459,0.000144486,0.000433459,0.000144486
